frequency,length,width,height,substrate_dielectric,input_power,predicted_gain
26.24724071,1.247281637,1.959996622,0.355257827,2.896736124,7.441396511,8.964597999017089
29.70428584,1.165824192,0.869023991,0.283716981,2.284453325,8.822908563,8.964597999017089
28.39196365,0.852307825,1.193279389,0.48579941,2.379077675,4.685480766,8.964597999017089
27.59195091,1.71453334,1.826561274,0.18759138,2.542013385,2.962869444,8.964597999017089
24.93611184,1.453248321,1.464178689,0.335142566,2.610960003,3.256581086,8.964597999017089
24.93596712,2.231401985,1.977142077,0.380084006,2.726785428,6.999787758,8.964597999017089
24.34850167,0.564219161,2.422415802,0.430225796,2.766380087,5.718824537,8.964597999017089
29.19705687,1.787735855,0.733093375,0.262788412,3.367149036,4.916291897,8.964597999017089
27.60669007,2.025897757,1.919135433,0.374768763,3.528719572,2.10746338,8.964597999017089
28.24843547,2.018973138,0.960688311,0.221280589,2.926637624,8.767011306,8.964597999017089
24.12350697,2.272147934,1.328953455,0.274190437,4.72188926,7.83210243,8.964597999017089
29.81945911,1.958067486,0.565725452,0.458250852,3.65941917,1.492322157,8.964597999017089
28.99465584,2.355620123,0.771814765,0.479963044,4.362430784,3.737145701,8.964597999017089
25.27403466,1.1653132,1.139554578,0.387526939,4.772713497,5.467107727,8.964597999017089
25.0909498,1.506418834,1.183971611,0.249740756,2.489405344,4.597952365,8.964597999017089
25.10042706,0.528159327,2.299170433,0.428023116,3.283623451,4.038178804,8.964597999017089
25.82545346,0.513915175,1.983625819,0.110346833,3.299631205,7.216435786,8.964597999017089
27.14853859,0.980253241,2.444365936,0.141098364,3.063416751,0.639584692,8.964597999017089
26.59167011,0.701614394,1.698143021,0.364549495,2.0267176,4.766962357,8.964597999017089
25.74737484,1.020422736,0.983427464,0.21649943,4.447916323,2.695598735,8.964597999017089
27.67111737,0.854086589,1.15531006,0.480554487,2.334677965,0.937722014,8.964597999017089
24.83696316,0.55704005,1.139671847,0.274424245,4.986441794,4.702382864,8.964597999017089
25.75286789,2.318608293,1.152988655,0.271745928,4.318875476,1.796550042,8.964597999017089
26.19817106,0.516446263,1.845928346,0.371231804,3.740030053,2.656420391,8.964597999017089
26.73641991,1.972164289,1.561615856,0.407027425,2.463819253,5.119386422,8.964597999017089
28.71105577,0.804295774,1.270848356,0.290223495,3.546178914,9.739718901,8.964597999017089
25.19804269,2.324459244,0.798179537,0.185600361,2.783326223,6.874124567,8.964597999017089
27.08540663,2.285591879,0.544278326,0.409323457,2.756967574,2.868255802,8.964597999017089
27.55448741,1.807802293,0.937669355,0.22814051,4.488587748,3.88581992,8.964597999017089
24.27870248,1.8444683,0.714942808,0.170044308,3.141933272,4.120718208,8.964597999017089
27.64526911,0.510678284,2.070890062,0.352656076,3.35217141,1.621012471,8.964597999017089
25.02314474,2.469743132,0.724995916,0.136181467,4.528894213,1.69047647,8.964597999017089
24.39030956,2.255665207,1.948456475,0.48854107,2.263371877,1.569107763,8.964597999017089
29.69331322,2.290212451,1.27131738,0.352958906,3.783853559,5.264474964,8.964597999017089
29.7937922,1.818489074,0.646756779,0.494358208,3.734647044,6.774442259,8.964597999017089
28.85038409,1.189573857,2.125460099,0.235557369,3.275643708,5.948134778,8.964597999017089
25.82768262,2.287297298,1.65926114,0.488482064,4.489323924,9.779895136,8.964597999017089
24.58603268,1.083033856,0.971523026,0.158224899,4.828670184,1.346158265,8.964597999017089
28.10539816,1.625423087,2.289362349,0.116277909,3.396007586,9.866096622,8.964597999017089
26.64091496,0.699461945,0.590516628,0.113193624,3.368441153,4.720071945,8.964597999017089
24.73222941,2.34391126,0.903639216,0.285948148,3.506191189,2.264464599,8.964597999017089
26.97106146,0.781540916,2.004093856,0.133201679,4.169372092,9.438480177,8.964597999017089
24.20633113,0.949793611,1.918755861,0.304867154,4.004180872,4.73927177,8.964597999017089
29.45592241,1.616268316,1.078543387,0.231000201,2.668504848,3.538734857,8.964597999017089
25.55267989,2.028186,0.624049751,0.234251597,2.191686046,2.216720028,8.964597999017089
27.97513371,1.738702612,2.216156144,0.354243599,4.847762389,2.751966966,8.964597999017089
25.87026646,0.964267826,1.127395276,0.165239202,2.783209279,9.794273151,8.964597999017089
27.12040813,0.501886085,0.89142683,0.406621348,3.915790054,3.109337055,8.964597999017089
27.28026168,2.014301161,1.532123645,0.332812368,4.485314008,9.780278645,8.964597999017089
25.10912673,2.470414652,2.320454399,0.465977852,2.900830252,3.369128367,8.964597999017089
29.81750777,2.119826241,0.587093156,0.245936262,3.906300241,2.391042809,8.964597999017089
28.65079694,1.420413236,2.031608176,0.493085997,2.323700723,1.915305411,8.964597999017089
29.63699365,2.307534523,1.644946456,0.330331059,4.909794333,4.177359602,8.964597999017089
29.3689641,1.319695346,1.350898233,0.489360782,2.174474825,2.44438384,8.964597999017089
27.58739987,1.549868168,1.988160888,0.110824262,3.314524022,6.999685842,8.964597999017089
29.53124541,1.454259535,2.431648849,0.391190529,3.610457726,2.47374018,8.964597999017089
24.53095501,1.395247745,0.958412422,0.42664861,4.371445336,8.370428765,8.964597999017089
25.17589717,2.050381539,0.78729473,0.121269315,2.363385551,8.356711459,8.964597999017089
24.27136373,1.553537815,2.32576349,0.331587866,3.322423922,2.926711103,8.964597999017089
25.95198198,1.133434244,1.837906155,0.420776917,2.899134709,7.560047292,8.964597999017089
26.33206374,1.016316335,1.375972043,0.32441549,2.936032147,8.589704172,8.964597999017089
25.62809419,0.575494634,1.646519141,0.125525436,4.336363748,5.942315155,8.964597999017089
28.97242505,1.666390324,1.99122781,0.377378896,2.016382835,3.726690868,8.964597999017089
26.14051996,0.959922831,2.046063797,0.124238766,4.247250924,4.465575148,8.964597999017089
25.68560706,0.796267844,2.339788362,0.426987558,4.43119529,7.883665764,8.964597999017089
27.2561765,1.807659928,1.353685578,0.117213673,4.704086732,3.003842894,8.964597999017089
24.84554535,1.862418516,1.08682182,0.154958952,3.88064541,3.41117711,8.964597999017089
28.81318188,2.004309785,1.779328534,0.210043036,3.000365985,1.691764929,8.964597999017089
